TargetID	CompoundID	UniProtID	Smiles
CHEMBL1808	CHEMBL172015	P12821	O=C(NC(Cc1cccnc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)OCc1ccccc1)c1ccccc1
CHEMBL4296	CHEMBL4560705	Q15858	Cn1cc(-c2ccc(C(F)F)cc2)c2ccc(C(=O)NS(C)(=O)=O)cc21
CHEMBL4296	CHEMBL4459021	Q15858	COc1cc(C(=O)NS(C)(=O)=O)c(F)cc1-c1cnc(OCC2(C)CC2)c(Cl)c1
CHEMBL4296	CHEMBL4457690	Q15858	CC(C)COc1ncc(-c2n[nH]c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl
CHEMBL4296	CHEMBL4537869	Q15858	Cn1c(-c2cnc(N3CCOCC3)nc2)c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)C3CC3)cc21
CHEMBL203	CHEMBL4460151	P00533	COc1cc2c(Nc3ccc(F)cc3)ncnc2cc1OCCOCCNC(=O)Cn1cnc([N+](=O)[O-])n1
CHEMBL203	CHEMBL4476791	P00533	C=CC(=O)Nc1cc(Nc2nccc(NC(=O)c3ccccc3)n2)c(OC)cc1N(C)C
CHEMBL203	CHEMBL3735250	P00533	CCC(C)n1cnc2cnc(Nc3ccnc(N4CCC(OC)CC4)n3)cc21
CHEMBL5145	CHEMBL4470801	P15056	CC(C)n1nc(C#Cc2cccc3c(Nc4ccc(Cl)cc4)nccc23)c2c(N)ncnc21
CHEMBL5145	CHEMBL4071785	P15056	CNc1cc(C2(C(=O)Nc3cc(C(=O)Nc4ccc(Cl)cc4)ccc3C)CC2)ncn1
CHEMBL4822	CHEMBL4550145	P56817	COc1ccc(OC)c(-c2cccc(C3(c4ccccc4)N=C(N)N(C)C3=O)c2)c1
CHEMBL4822	CHEMBL4582946	P56817	C[C@@]1(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CCSC(N)=N1
CHEMBL4822	CHEMBL4583534	P56817	FC(F)(F)c1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1
CHEMBL220	CHEMBL4583534	P22303	FC(F)(F)c1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1
CHEMBL4822	CHEMBL4449985	P56817	CN=[S@@]1(=O)C[C@@](C)(c2cc(-c3cc(-c4ncc(OC)cn4)no3)ccc2F)N=C(N)N1C
CHEMBL4822	CHEMBL4454975	P56817	Cc1noc(C(F)F)c1[C@@H]1C[C@@](C)(c2ccc(F)cc2F)N=C(N)S1
CHEMBL3105	CHEMBL4589423	P09874	O=C(O)C1C(C(=O)O)C(C(=O)NCCOCCOCC(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)C1C(=O)O
CHEMBL248	CHEMBL4460252	P08246	CNC(=O)O[C@@H](CC(C)C)c1nc([C@H]2OC(=O)[C@H](C)/C=C/C(C)=C/[C@@H](O)[C@@H](C)/C=C(C)\C=C(C)/C=C/[C@@H](O)[C@H](C)[C@H](OC)/C(C)=C/C=C/[C@@H]2C)cs1
CHEMBL4198	CHEMBL4575701	P98170	CN[C@@H](C)C(=O)NC1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCc4ccc(CCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O
CHEMBL3429	CHEMBL4578651	P11474	COCCNC(=O)/C(C#N)=C/c1ccc(OCc2ccc(C(F)(F)F)cc2C(F)(F)F)c(OC)c1
CHEMBL3429	CHEMBL4440692	P11474	COc1cc(/C=C(\C#N)C(=O)NCCOCCC(=O)O)ccc1OCc1ccc(C(F)(F)F)cc1C(F)(F)F
CHEMBL4005	CHEMBL4568963	P42336	COCC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
CHEMBL3130	CHEMBL4568963	O00329	COCC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
CHEMBL4005	CHEMBL4545915	P42336	CS(=O)(=O)O.CS(=O)(=O)O.O.O.c1cnc2ccc(Nc3nc(NC4CC4)c4nc[nH]c4n3)cc2c1
CHEMBL3267	CHEMBL4545915	P48736	CS(=O)(=O)O.CS(=O)(=O)O.O.O.c1cnc2ccc(Nc3nc(NC4CC4)c4nc[nH]c4n3)cc2c1
CHEMBL3130	CHEMBL4545915	O00329	CS(=O)(=O)O.CS(=O)(=O)O.O.O.c1cnc2ccc(Nc3nc(NC4CC4)c4nc[nH]c4n3)cc2c1
CHEMBL3145	CHEMBL4545915	P42338	CS(=O)(=O)O.CS(=O)(=O)O.O.O.c1cnc2ccc(Nc3nc(NC4CC4)c4nc[nH]c4n3)cc2c1
CHEMBL4005	CHEMBL4461362	P42336	COc1ncc(-c2ccc3ncnc(NC4CCNCC4)c3c2)cc1NS(C)(=O)=O
CHEMBL4005	CHEMBL4469006	P42336	CC(=O)N1CCN(C(=O)c2cccc(-c3ncnc4ccc(-c5cnc6ccccc6c5)cc34)c2)CC1
CHEMBL3130	CHEMBL4469006	O00329	CC(=O)N1CCN(C(=O)c2cccc(-c3ncnc4ccc(-c5cnc6ccccc6c5)cc34)c2)CC1
CHEMBL4005	CHEMBL4443987	P42336	CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1
CHEMBL3267	CHEMBL4443987	P48736	CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1
CHEMBL3130	CHEMBL4443987	O00329	CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1
CHEMBL4005	CHEMBL4466025	P42336	NC(=O)CNC(=O)[C@H]1CCCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)C1
CHEMBL3267	CHEMBL4466025	P48736	NC(=O)CNC(=O)[C@H]1CCCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)C1
CHEMBL3130	CHEMBL4466025	O00329	NC(=O)CNC(=O)[C@H]1CCCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)C1
CHEMBL3145	CHEMBL4466025	P42338	NC(=O)CNC(=O)[C@H]1CCCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)C1
CHEMBL4005	CHEMBL4515169	P42336	COc1ncc(-c2ccc3ncnc(NC4CCN(C(C)=O)CC4)c3c2)cc1NS(C)(=O)=O
CHEMBL4005	CHEMBL4443297	P42336	COCC(=O)NC1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1
CHEMBL3267	CHEMBL4443297	P48736	COCC(=O)NC1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1
CHEMBL3130	CHEMBL4443297	O00329	COCC(=O)NC1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1
CHEMBL240	CHEMBL4517101	Q12809	N#Cc1ccc(O[C@H]2CN(S(=O)(=O)c3ccc(Cl)cc3Cl)C[C@@]2(O)CN)cc1F
CHEMBL3119	CHEMBL4517101	Q9HBA0	N#Cc1ccc(O[C@H]2CN(S(=O)(=O)c3ccc(Cl)cc3Cl)C[C@@]2(O)CN)cc1F
CHEMBL240	CHEMBL4586271	Q12809	COc1cc([C@](O)(CCN(C)C)[C@@H](c2cc3cc(C#N)ccc3nc2OC)c2cccc3c2CCC3)cc(OC)n1
CHEMBL240	CHEMBL4567098	Q12809	CN(C)c1ccc(CNC(=O)[C@@H]2CNC[C@H]2c2ccc(C(F)(F)F)c(Cl)c2)cc1
CHEMBL240	CHEMBL4590477	Q12809	Cc1cc(-c2ccnc3[nH]nc(C(F)(F)F)c23)cc(C2(CN)CCC2)c1
CHEMBL3920	CHEMBL4590477	Q04759	Cc1cc(-c2ccnc3[nH]nc(C(F)(F)F)c23)cc(C2(CN)CCC2)c1
CHEMBL240	CHEMBL4475081	Q12809	C[C@@H]1OCC2(CCN(c3cnc4c(-c5cccc(Cl)c5Cl)c[nH]c4n3)CC2)[C@@H]1N
CHEMBL3864	CHEMBL4475081	Q06124	C[C@@H]1OCC2(CCN(c3cnc4c(-c5cccc(Cl)c5Cl)c[nH]c4n3)CC2)[C@@H]1N
CHEMBL240	CHEMBL4566588	Q12809	Fc1ccc(-c2nc(C3CCNCC3)sc2-c2ccnc(Nc3nncs3)n2)cc1
CHEMBL240	CHEMBL4521547	Q12809	COCCN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1
CHEMBL3080	CHEMBL4521547	Q13231	COCCN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1
CHEMBL1293197	CHEMBL4521547	Q9BZP6	COCCN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1
CHEMBL240	CHEMBL4521294	Q12809	c1ccc(-c2cccc3nc(-c4ccncc4)nc(NCc4ccccn4)c23)cc1
CHEMBL4306	CHEMBL4521294	P22460	c1ccc(-c2cccc3nc(-c4ccncc4)nc(NCc4ccccn4)c23)cc1
CHEMBL240	CHEMBL4443434	Q12809	CC(C)c1ccc(-c2cc(CN3CC[Si](C)(C)CC3)nn2C2CCCCC2)cc1
CHEMBL1741186	CHEMBL4568486	P51449	COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCC1CC1(F)F
CHEMBL1741186	CHEMBL4520100	P51449	O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc32)cc1
CHEMBL1741186	CHEMBL4475244	P51449	COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC(F)(F)F
CHEMBL1741186	CHEMBL4464810	P51449	O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3cccc(F)c23)cc1Cl
CHEMBL2321643	CHEMBL4594207	Q9H7B4	O=C(NC1CCN(S(=O)(=O)C[C@H]2CC[C@H](NCc3ccc(F)cc3)CC2)CC1)c1cc(C2CC2)on1
CHEMBL2321643	CHEMBL4536672	Q9H7B4	O=C(NC1CCN(S(=O)(=O)c2ccc(CN3CCCC3)cc2)CC1)c1cc(C2CC2)on1
CHEMBL2722	CHEMBL4476620	P19099	Fc1cc2nc(-c3cncnc3C(F)F)n(C3CC3)c2cc1F
